feature_name,importance
hsa-mir-573,0.276957
hsa-mir-1269b,0.27670452
hsa-mir-23b,0.27657682
hsa-mir-548ay,0.27616885
hsa-mir-337,0.27589878
hsa-mir-486-2,0.27585012
hsa-mir-548k,0.27550936
hsa-mir-4521,0.27506018
hsa-mir-3065,0.27474126
hsa-mir-3678,0.27436036
hsa-mir-7155,0.27363393
hsa-mir-101-2,0.273472
hsa-mir-205,0.27340674
hsa-mir-5588,0.27330276
hsa-mir-501,0.27280027
hsa-mir-486-1,0.27263144
hsa-mir-3662,0.27237427
hsa-mir-6743,0.27204728
hsa-mir-6502,0.2715868
hsa-mir-588,0.2711262
hsa-mir-1296,0.27096805
hsa-mir-6806,0.2707092
hsa-mir-3677,0.27063927
hsa-mir-4999,0.27058044
hsa-mir-508,0.27055803
hsa-mir-7111,0.27052817
hsa-mir-3655,0.27042124
hsa-mir-487b,0.27023265
hsa-mir-132,0.2701016
hsa-mir-658,0.2694915
hsa-mir-4699,0.26915753
hsa-mir-4658,0.26860046
hsa-mir-424,0.26859647
hsa-mir-6767,0.26852098
hsa-mir-628,0.26845965
hsa-mir-1185-2,0.26812324
hsa-mir-4796,0.26769802
hsa-mir-6769a,0.26731986
hsa-mir-532,0.26713467
hsa-mir-301b,0.2666199
hsa-mir-632,0.2665298
hsa-mir-3937,0.26645103
hsa-mir-4739,0.2654528
hsa-mir-4767,0.26503587
hsa-mir-6805,0.2650135
hsa-mir-4442,0.26499188
hsa-mir-99a,0.26494244
hsa-mir-6858,0.26479423
hsa-mir-103a-2,0.2646658
hsa-mir-190b,0.26458627
hsa-mir-6513,0.26440063
hsa-mir-380,0.26412633
hsa-mir-3653,0.26405776
hsa-mir-16-2,0.26363575
hsa-mir-6758,0.26342365
hsa-mir-183,0.2634017
hsa-mir-196b,0.26288134
hsa-mir-218-2,0.26259336
hsa-mir-6736,0.26220167
hsa-mir-382,0.26213285
hsa-mir-5088,0.26199326
hsa-mir-218-1,0.26115927
hsa-mir-3591,0.26050243
hsa-mir-9-3,0.26026276
hsa-mir-654,0.26016992
hsa-mir-4479,0.2599663
hsa-mir-6750,0.25981042
hsa-mir-676,0.25980842
hsa-mir-128-1,0.25962204
hsa-mir-432,0.25959614
hsa-mir-130b,0.25958687
hsa-mir-4786,0.25927246
hsa-mir-3917,0.25919732
hsa-mir-485,0.25908077
hsa-mir-4789,0.25894806
hsa-mir-4523,0.25867742
hsa-mir-1251,0.25848582
hsa-mir-378a,0.2583705
hsa-mir-1269a,0.25784767
hsa-mir-1270,0.2575298
hsa-mir-1249,0.25751656
hsa-mir-1289-1,0.25725254
hsa-mir-6868,0.2567677
hsa-mir-4326,0.25548506
hsa-mir-944,0.2546535
hsa-mir-4713,0.2545595
hsa-mir-758,0.2543031
hsa-mir-544a,0.25428158
hsa-mir-8072,0.25423837
hsa-mir-1915,0.2540871
hsa-mir-219a-1,0.2535911
hsa-mir-18b,0.25355205
hsa-mir-376b,0.25348762
hsa-mir-612,0.25337788
hsa-mir-3143,0.25337014
hsa-mir-521-1,0.25324723
hsa-mir-574,0.2532021
hsa-mir-513a-2,0.2531955
hsa-mir-548x,0.252954
hsa-mir-5581,0.2529391
hsa-mir-3923,0.25229523
hsa-mir-3605,0.25193244
hsa-mir-7-2,0.2519324
hsa-mir-4700,0.2517106
